epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,52308.9,1.44891,0.82243,1.58426,0.97109,0.95945,0.98712,0.55575,1.53022,0.66908,1.77345,0.006898,0.006898,0.006898
96,52869.1,1.44418,0.82407,1.58225,0.97003,0.96032,0.98749,0.55523,1.5308,0.66936,1.77387,0.006865,0.006865,0.006865
97,53432.8,1.44494,0.81251,1.57542,0.96954,0.96083,0.98736,0.55525,1.53137,0.66466,1.77443,0.006832,0.006832,0.006832
98,53991.9,1.44188,0.80889,1.57882,0.97049,0.96044,0.98733,0.55484,1.53227,0.66103,1.77513,0.006799,0.006799,0.006799
99,54551,1.4329,0.80063,1.56038,0.9708,0.9601,0.9875,0.55496,1.53305,0.65877,1.77558,0.006766,0.006766,0.006766
100,55118,1.4361,0.81164,1.57725,0.97118,0.96007,0.98724,0.55428,1.53375,0.65595,1.77657,0.006733,0.006733,0.006733
101,55678.6,1.43348,0.80545,1.56665,0.97099,0.96044,0.98699,0.55419,1.53475,0.651,1.77761,0.0067,0.0067,0.0067
102,56239.3,1.42676,0.79787,1.56305,0.97015,0.96103,0.98712,0.55411,1.53526,0.65007,1.77813,0.006667,0.006667,0.006667
103,56799.4,1.42898,0.8133,1.56746,0.96969,0.96185,0.98769,0.55392,1.53637,0.64437,1.77908,0.006634,0.006634,0.006634
104,57360.4,1.41417,0.79243,1.56151,0.96928,0.96202,0.98764,0.55411,1.53702,0.64341,1.78046,0.006601,0.006601,0.006601
105,57916.3,1.42111,0.80582,1.56008,0.96969,0.962,0.98745,0.55382,1.53741,0.64402,1.78108,0.006568,0.006568,0.006568
106,58478.1,1.41443,0.79513,1.55538,0.9707,0.96202,0.98754,0.55369,1.53815,0.64786,1.78179,0.006535,0.006535,0.006535
107,59040,1.41507,0.79611,1.55403,0.97126,0.9628,0.98765,0.55407,1.53896,0.64933,1.7826,0.006502,0.006502,0.006502
108,59606.2,1.41356,0.78785,1.54865,0.97106,0.96241,0.98773,0.55425,1.53993,0.64749,1.78368,0.006469,0.006469,0.006469
109,60165.7,1.41843,0.78992,1.55752,0.97066,0.96221,0.98758,0.5539,1.54013,0.64934,1.78446,0.006436,0.006436,0.006436
110,60724.7,1.40583,0.77696,1.54016,0.97009,0.9624,0.9874,0.55385,1.54063,0.64532,1.78512,0.006403,0.006403,0.006403
111,61284.5,1.40417,0.78039,1.54059,0.96931,0.96202,0.98741,0.55396,1.54133,0.64307,1.78605,0.00637,0.00637,0.00637
112,61844.8,1.39808,0.78174,1.53762,0.96921,0.96301,0.98736,0.5536,1.54247,0.64285,1.78714,0.006337,0.006337,0.006337
113,62404.4,1.39742,0.78155,1.5391,0.96971,0.9636,0.98746,0.55292,1.54256,0.64053,1.78806,0.006304,0.006304,0.006304
114,62967.1,1.39573,0.78226,1.53944,0.96878,0.96377,0.98745,0.55272,1.5436,0.63725,1.78915,0.006271,0.006271,0.006271
115,63530.1,1.39259,0.78007,1.53959,0.9682,0.96363,0.98727,0.5527,1.54459,0.63742,1.79039,0.006238,0.006238,0.006238
116,64093.8,1.39122,0.7793,1.53322,0.97049,0.9632,0.9872,0.55256,1.5452,0.63922,1.79117,0.006205,0.006205,0.006205
117,64653.8,1.39079,0.77387,1.52769,0.97127,0.9634,0.9874,0.55193,1.54564,0.64006,1.79177,0.006172,0.006172,0.006172
118,65212.6,1.38413,0.7722,1.52515,0.97229,0.96281,0.98739,0.55185,1.54633,0.64216,1.79265,0.006139,0.006139,0.006139
119,65772.6,1.38777,0.77134,1.5193,0.97175,0.96261,0.9872,0.55173,1.54735,0.64513,1.79366,0.006106,0.006106,0.006106
120,66324.5,1.38608,0.77244,1.52865,0.97152,0.96281,0.98761,0.55202,1.54747,0.64639,1.79385,0.006073,0.006073,0.006073
121,66888,1.37452,0.76405,1.52204,0.97207,0.96261,0.98771,0.55175,1.54823,0.6455,1.79499,0.00604,0.00604,0.00604
122,67447.2,1.37783,0.76273,1.52267,0.97261,0.96252,0.98774,0.55132,1.54859,0.64393,1.79604,0.006007,0.006007,0.006007
123,68006.7,1.37528,0.76449,1.52039,0.97309,0.96202,0.98793,0.55194,1.54898,0.64445,1.79674,0.005974,0.005974,0.005974
124,68570.8,1.36846,0.75716,1.51186,0.97396,0.96175,0.98811,0.55118,1.54952,0.64426,1.79777,0.005941,0.005941,0.005941
125,69126,1.36109,0.75007,1.50966,0.97383,0.96162,0.98868,0.55071,1.55026,0.64625,1.7993,0.005908,0.005908,0.005908
126,69694,1.37052,0.76009,1.51727,0.97434,0.96139,0.98878,0.5506,1.551,0.64841,1.80058,0.005875,0.005875,0.005875
127,70253.1,1.36504,0.75771,1.50923,0.97315,0.96079,0.98765,0.5501,1.55202,0.65042,1.80188,0.005842,0.005842,0.005842
128,70816.2,1.36146,0.75146,1.50748,0.97168,0.96182,0.98768,0.55004,1.55339,0.64529,1.80377,0.005809,0.005809,0.005809
129,71386.5,1.3528,0.75355,1.5013,0.97174,0.96083,0.98666,0.54894,1.55506,0.64454,1.80596,0.005776,0.005776,0.005776
130,71953,1.36087,0.75388,1.50533,0.97071,0.96142,0.98661,0.54833,1.55693,0.64535,1.80817,0.005743,0.005743,0.005743
131,72526.4,1.35606,0.75424,1.50382,0.97036,0.96142,0.98696,0.54779,1.55822,0.65102,1.80985,0.00571,0.00571,0.00571
132,73086.5,1.35638,0.74651,1.50318,0.97101,0.96079,0.98724,0.54715,1.55932,0.65077,1.81173,0.005677,0.005677,0.005677
133,73643.4,1.34729,0.75325,1.49424,0.97006,0.96083,0.98678,0.54741,1.56034,0.65364,1.81337,0.005644,0.005644,0.005644
134,74203.1,1.34292,0.74608,1.48944,0.97014,0.96103,0.98714,0.54686,1.56116,0.64801,1.81442,0.005611,0.005611,0.005611
135,74760.9,1.33447,0.73303,1.48577,0.97022,0.96083,0.98703,0.54663,1.56236,0.6455,1.81577,0.005578,0.005578,0.005578
136,75318.6,1.34123,0.73625,1.49,0.96984,0.96042,0.98695,0.54623,1.56374,0.64909,1.81724,0.005545,0.005545,0.005545
137,75884.1,1.33562,0.74412,1.49063,0.9701,0.96103,0.98713,0.54617,1.56474,0.64562,1.81884,0.005512,0.005512,0.005512
138,76442.5,1.32931,0.73664,1.48539,0.9708,0.96022,0.98735,0.54545,1.56554,0.64356,1.82098,0.005479,0.005479,0.005479
139,77001.9,1.33681,0.74342,1.48819,0.9705,0.95945,0.98658,0.54441,1.56671,0.64129,1.82297,0.005446,0.005446,0.005446
140,77560.8,1.32522,0.73135,1.48072,0.97007,0.95865,0.98578,0.54468,1.56772,0.64016,1.82493,0.005413,0.005413,0.005413
141,78121,1.32459,0.72396,1.48077,0.96998,0.95846,0.98635,0.54513,1.56863,0.63677,1.82665,0.00538,0.00538,0.00538
