epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2737.76,2.17475,1.52836,1.25937,0.77165,0.65718,0.73689,0.27828,2.09201,1.41133,1.27088,0.0015776,0.0015776,0.0015776
66,2770.86,2.15781,1.53902,1.27469,0.69233,0.53922,0.57302,0.18488,2.33729,1.74105,1.40037,0.001571,0.001571,0.001571
67,2802.66,2.15592,1.51507,1.24694,0.74891,0.64057,0.69331,0.24333,2.17566,1.48524,1.3067,0.0015644,0.0015644,0.0015644
68,2840.22,2.15176,1.5026,1.25555,0.77174,0.64769,0.71777,0.26252,2.15626,1.3545,1.31716,0.0015578,0.0015578,0.0015578
69,2882.26,2.18909,1.54333,1.27421,0.833,0.70819,0.77345,0.30806,2.0348,1.38807,1.28014,0.0015512,0.0015512,0.0015512
70,2923.83,2.16963,1.51568,1.25763,0.78926,0.67616,0.74254,0.26517,2.15442,1.35611,1.31932,0.0015446,0.0015446,0.0015446
71,2953.58,2.12737,1.48289,1.24741,0.75926,0.63228,0.7017,0.26817,2.08339,1.46002,1.27796,0.001538,0.001538,0.001538
72,2998.57,2.14964,1.50118,1.25884,0.76239,0.65955,0.73139,0.27993,2.08056,1.39271,1.28779,0.0015314,0.0015314,0.0015314
73,3035.69,2.16695,1.51817,1.25971,0.77844,0.65362,0.72529,0.26915,2.09828,1.36574,1.27954,0.0015248,0.0015248,0.0015248
74,3064.58,2.13679,1.47851,1.2456,0.809,0.70937,0.7667,0.29614,2.05057,1.30587,1.2725,0.0015182,0.0015182,0.0015182
75,3108.7,2.12617,1.44264,1.24772,0.82406,0.70344,0.78651,0.2995,2.03839,1.2992,1.26985,0.0015116,0.0015116,0.0015116
76,3138.62,2.15917,1.48485,1.24249,0.7932,0.65836,0.71594,0.26826,2.10315,1.33543,1.2612,0.001505,0.001505,0.001505
77,3181.55,2.1297,1.49093,1.23897,0.82485,0.72065,0.79095,0.31175,2.02002,1.28134,1.24314,0.0014984,0.0014984,0.0014984
78,3213.87,2.12849,1.47793,1.2393,0.78615,0.60261,0.69611,0.25753,2.14756,1.37376,1.31674,0.0014918,0.0014918,0.0014918
79,3249.86,2.12837,1.50606,1.24867,0.79816,0.65836,0.72296,0.26005,2.09883,1.40002,1.30382,0.0014852,0.0014852,0.0014852
80,3283.24,2.15202,1.47145,1.24483,0.80433,0.62396,0.7072,0.25013,2.13,1.43484,1.31714,0.0014786,0.0014786,0.0014786
81,3324.35,2.12586,1.42597,1.23657,0.83393,0.70107,0.78962,0.30619,2.00987,1.26237,1.25547,0.001472,0.001472,0.001472
82,3361.46,2.11592,1.46584,1.23073,0.79248,0.66429,0.74498,0.29012,2.02537,1.31156,1.22942,0.0014654,0.0014654,0.0014654
83,3392.56,2.10726,1.42411,1.2318,0.77805,0.67734,0.74309,0.2716,2.13829,1.2659,1.30264,0.0014588,0.0014588,0.0014588
84,3440.12,2.10602,1.40134,1.23387,0.80079,0.67853,0.75338,0.28282,2.08965,1.3073,1.30337,0.0014522,0.0014522,0.0014522
85,3469.04,2.09972,1.39996,1.22673,0.84315,0.73072,0.80317,0.30743,2.03419,1.25648,1.28944,0.0014456,0.0014456,0.0014456
86,3516.18,2.09476,1.38402,1.23246,0.81354,0.71422,0.78132,0.30061,2.08565,1.22796,1.28795,0.001439,0.001439,0.001439
87,3549.08,2.09402,1.37084,1.22803,0.77629,0.66548,0.70795,0.25837,2.18782,1.30637,1.34814,0.0014324,0.0014324,0.0014324
88,3577.49,2.08334,1.37866,1.21729,0.80313,0.69514,0.76236,0.29396,2.07561,1.25993,1.2875,0.0014258,0.0014258,0.0014258
89,3618.35,2.10262,1.41345,1.23867,0.79431,0.66074,0.74592,0.29454,2.00065,1.33148,1.24526,0.0014192,0.0014192,0.0014192
90,3660.12,2.09893,1.413,1.22323,0.77553,0.67622,0.74731,0.29172,2.02338,1.35999,1.23739,0.0014126,0.0014126,0.0014126
91,3693.5,2.1035,1.39426,1.22377,0.79876,0.6987,0.76744,0.30322,2.06418,1.25798,1.26579,0.001406,0.001406,0.001406
92,3729.46,2.09298,1.38692,1.22635,0.81736,0.707,0.77573,0.28948,2.10314,1.23369,1.281,0.0013994,0.0013994,0.0013994
93,3771.35,2.11267,1.44248,1.24501,0.7978,0.69271,0.76879,0.29645,2.049,1.28468,1.24633,0.0013928,0.0013928,0.0013928
94,3802.45,2.1037,1.36996,1.2414,0.79924,0.6726,0.74835,0.27451,2.16387,1.25381,1.3273,0.0013862,0.0013862,0.0013862
95,3845.62,2.10331,1.36088,1.22045,0.84946,0.71649,0.80031,0.31705,2.03706,1.26126,1.27189,0.0013796,0.0013796,0.0013796
96,3878.2,2.06879,1.33927,1.21869,0.80914,0.68921,0.74532,0.27586,2.13643,1.2367,1.32589,0.001373,0.001373,0.001373
97,3919.35,2.07144,1.37074,1.22601,0.85938,0.74667,0.83454,0.33531,1.97288,1.14826,1.26047,0.0013664,0.0013664,0.0013664
98,3964.25,2.07656,1.36736,1.21278,0.82319,0.67853,0.75097,0.27808,2.12967,1.25709,1.33726,0.0013598,0.0013598,0.0013598
