epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,13503.7,1.60923,0.91276,1.92453,0.96641,0.94995,0.9863,0.54854,1.55087,0.71365,2.07911,0.008119,0.008119,0.008119
59,13739.2,1.60354,0.90592,1.92962,0.96606,0.95194,0.98627,0.54909,1.55145,0.70875,2.07957,0.008086,0.008086,0.008086
60,13966.9,1.59803,0.90695,1.91906,0.96483,0.95249,0.98639,0.55005,1.55239,0.70394,2.08021,0.008053,0.008053,0.008053
61,14196.7,1.59786,0.89646,1.91736,0.96559,0.95079,0.98636,0.55089,1.55312,0.69855,2.07965,0.00802,0.00802,0.00802
62,14428.8,1.59809,0.90278,1.91416,0.96322,0.95416,0.9863,0.55107,1.55386,0.69243,2.07941,0.007987,0.007987,0.007987
63,14659.9,1.59068,0.89945,1.90272,0.96401,0.95283,0.98638,0.55052,1.55441,0.68517,2.07879,0.007954,0.007954,0.007954
64,14897,1.58978,0.89211,1.89986,0.96465,0.95228,0.98666,0.55127,1.55403,0.67922,2.07705,0.007921,0.007921,0.007921
65,15126,1.59961,0.89521,1.91078,0.96565,0.95213,0.98706,0.55153,1.55297,0.67518,2.07597,0.007888,0.007888,0.007888
66,15361.2,1.58855,0.89697,1.89751,0.96376,0.95292,0.98636,0.55232,1.552,0.67075,2.07456,0.007855,0.007855,0.007855
67,15594.8,1.58653,0.898,1.89599,0.96399,0.95228,0.98602,0.55276,1.55193,0.66962,2.07315,0.007822,0.007822,0.007822
68,15822.9,1.58315,0.88276,1.89467,0.96336,0.95377,0.98653,0.55294,1.55205,0.67019,2.07203,0.007789,0.007789,0.007789
69,16057.8,1.58135,0.88498,1.89704,0.96284,0.95497,0.98639,0.55312,1.55336,0.66708,2.0716,0.007756,0.007756,0.007756
70,16290.1,1.58045,0.88087,1.89201,0.96118,0.95739,0.98617,0.55324,1.55422,0.66439,2.07088,0.007723,0.007723,0.007723
71,16523.8,1.57215,0.87983,1.88921,0.96216,0.95761,0.98667,0.55319,1.5546,0.664,2.07036,0.00769,0.00769,0.00769
72,16756.7,1.57579,0.87537,1.88046,0.96324,0.9559,0.98661,0.55327,1.55542,0.66652,2.06903,0.007657,0.007657,0.007657
73,16985.3,1.57132,0.8773,1.87828,0.96436,0.95505,0.98653,0.55356,1.55581,0.66794,2.0685,0.007624,0.007624,0.007624
74,17216.5,1.56563,0.87076,1.87457,0.96613,0.95398,0.98688,0.55319,1.55553,0.66662,2.06633,0.007591,0.007591,0.007591
75,17449.2,1.56296,0.86448,1.87261,0.96572,0.95413,0.98679,0.55267,1.5562,0.66615,2.06537,0.007558,0.007558,0.007558
76,17681.7,1.55558,0.85069,1.86829,0.96575,0.95507,0.98692,0.55271,1.55619,0.66648,2.06457,0.007525,0.007525,0.007525
77,17928.1,1.56586,0.86998,1.87876,0.96417,0.95505,0.98665,0.55271,1.55531,0.66603,2.06353,0.007492,0.007492,0.007492
78,18155.7,1.57395,0.8771,1.88087,0.96474,0.95592,0.98658,0.55325,1.55461,0.66649,2.06217,0.007459,0.007459,0.007459
79,18394.9,1.5614,0.86817,1.87188,0.96432,0.9559,0.98652,0.55321,1.55483,0.66498,2.06238,0.007426,0.007426,0.007426
80,18620.7,1.55891,0.86378,1.87859,0.96331,0.95484,0.98605,0.55289,1.5554,0.66441,2.0625,0.007393,0.007393,0.007393
81,18856.9,1.556,0.86158,1.87103,0.96317,0.95484,0.98634,0.55354,1.55569,0.66507,2.06233,0.00736,0.00736,0.00736
82,19083.9,1.54953,0.85574,1.8655,0.96122,0.95576,0.98618,0.55416,1.55531,0.66438,2.06221,0.007327,0.007327,0.007327
83,19317.3,1.55766,0.85236,1.87295,0.95796,0.95888,0.98543,0.55382,1.55554,0.65957,2.06175,0.007294,0.007294,0.007294
84,19546.6,1.55227,0.84819,1.86936,0.95891,0.95959,0.98534,0.55446,1.55614,0.65404,2.06137,0.007261,0.007261,0.007261
85,19790.8,1.55163,0.85818,1.86336,0.95984,0.9591,0.98532,0.55467,1.55664,0.65375,2.06112,0.007228,0.007228,0.007228
86,20020.2,1.53905,0.84637,1.85608,0.95986,0.95974,0.98558,0.5544,1.55649,0.6544,2.06053,0.007195,0.007195,0.007195
87,20253.2,1.54656,0.85288,1.8706,0.95674,0.96165,0.98543,0.55437,1.55655,0.6511,2.06118,0.007162,0.007162,0.007162
88,20482.1,1.53828,0.84402,1.85469,0.95675,0.96146,0.98501,0.55482,1.55571,0.64947,2.06076,0.007129,0.007129,0.007129
